;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;;;;;;;;;;29.03.2022;29.03.2022;09.05.2024;03.05.2024;02.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"EPS, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.76;1.77;-0.78;-0.02;3.47;5.44
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-4.18;0.03;-1.88;7.08;2.13;0.28
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.21;13.0;3.81;5.08;8.21;10.8
"Рентаб EBITDA, %";;;;;;;;;;;;;;;17.1%;23.3%;0.0%;3.8%;16.9%;25.7%
"Чистая рентаб, %";;;;;;;;;;;;;;;7.6%;15.5%;-7.8%;-0.2%;17.0%;23.3%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;;-20.4%;;;
"ROE, %";;;;;;;;;;;;;;;14.7%;13.6%;-19.3%;-0.4%;41.2%;49.3%
"ROA, %";;;;;;;;;;;;;;;5.8%;10.0%;-4.1%;-0.1%;11.6%;18.3%
P/E;;;;;;;;;;;;;;;0.94;0.47;-12.8;-51.1;0.31;0.22
P/FCF;;;;;;;;;;;;;;;-0.17;29.8;-5.31;0.17;0.51;4.14
P/S;;;;;;;;;;;;;;;0.07;0.07;0.99;0.10;0.05;0.05
P/BV;;;;;;;;;;;;;;;0.14;0.06;2.62;0.23;0.13;0.11
EV/EBITDA;;;;;;;;;;;;;;;3.42;2.10;;-1.01;-0.68;0.09
Долг/EBITDA;;;;;;;;;;;;;;;3.00;1.79;;-3.68;-0.99;-0.10
"Персонал, чел";;;;"4 077";"4 192";"4 366";;;;"2 512";;;;;;;;;;
"Производительность труда, млн руб/чел/год";;;;0.00;0.00;0.00;;;;0.00;;;;;;;;;;
"Расходы/чел/год, тыс.р";;;;0.00;0.00;0.00;;;;0.00;;;;;;;;;;
"R&D/CAPEX, %";;;;;;;;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;;;;;;;;;;;6%;4%;5%;4%;5%;5%
